user_id,event_type,product_id,price,timestamp
873.0,view,308,264.56,0
720.0,view,449,240.25,1
936.0,purchase,40,414.48,2
547.0,purchase,313,469.42,3
439.0,purchase,97,335.45,4
815.0,view,320,148.92,5
220.0,purchase,348,98.51,6
804.0,view,8,169.55,7
738.0,purchase,359,265.23,8
518.0,view,249,8451.855736616242,9
215.0,click,212,55.6,10
198.0,click,400,391.9,11
987.0,click,454,51.6,12
983.0,click,6,241.37,13
35.0,view,464,416.06,14
756.0,view,370,414.09,15
745.0,purchase,261,237.11,16
92.0,click,259,,17
811.0,purchase,342,405.2,18
967.0,purchase,369,400.92,19
526.0,purchase,343,217.34,20
811.0,purchase,120,175.46,21
469.0,view,408,213.27,22
667.0,view,272,40.18,23
546.0,click,137,78.13,24
765.0,purchase,82,163.13,25
441.0,purchase,118,27.27,26
393.0,view,379,100.54,27
917.0,click,118,112.91,28
717.0,click,271,348.94,29
,click,119,397.83,30
645.0,view,220,151.98,31
,purchase,16,477.28,32
37.0,view,189,217.72,33
32.0,purchase,40,452.88,34
782.0,purchase,129,43.9,35
686.0,purchase,323,188.62,36
181.0,click,313,21.77,37
174.0,click,395,128.75,38
901.0,purchase,226,190.85,39
407.0,view,18,337.42,40
983.0,click,411,423.88,41
244.0,click,131,24.93,42
349.0,view,5,13.29,43
813.0,click,428,247.63,44
201.0,purchase,291,454.71,45
903.0,view,286,223.54,46
420.0,click,274,248.92,47
537.0,purchase,249,131.36,48
550.0,purchase,209,454.02,49
355.0,click,477,473.45,50
887.0,click,388,483.16,51
936.0,click,474,293.31,52
246.0,view,125,275.29,53
613.0,view,288,50.82,54
35.0,click,267,-221.59,55
164.0,view,24,380.13,56
597.0,click,244,384.07,57
969.0,click,402,476.45,58
15.0,view,411,8510.780890306301,59
,view,56,404.58,60
48.0,click,450,388.73,61
116.0,view,27,171.16,62
751.0,view,371,372.7,63
677.0,view,309,,64
191.0,view,490,386.18,65
706.0,click,330,103.44,66
615.0,view,27,-480.16,67
996.0,click,161,127.49,68
961.0,purchase,153,322.03,69
373.0,click,145,318.57,70
,purchase,163,410.91,71
828.0,view,139,391.9,72
582.0,click,100,498.64,73
584.0,purchase,62,22.88,74
880.0,view,404,175.5,75
572.0,purchase,161,400.81,76
699.0,view,233,463.23,77
702.0,view,196,232.87,78
404.0,view,237,335.47,79
463.0,purchase,308,74.79,80
353.0,click,166,364.18,81
276.0,click,401,203.7,82
372.0,click,464,300.64,83
720.0,purchase,397,187.75,84
940.0,purchase,136,247.11,85
570.0,view,46,171.96,86
752.0,purchase,85,461.84,87
783.0,click,53,81.96,88
248.0,view,16,72.81,89
907.0,click,51,137.94,90
916.0,purchase,372,317.28,91
